id,title,addr,addr_area,addr_sigun,cat_large,cat_middle,cat_sub,cat1,cat2,grade,review_num,ratings
132750,춘천 동부시장,강원도 춘천시 동부시장길 8,강원도,춘천시,쇼핑,쇼핑,시장,쇼핑|시장,쇼핑|쇼핑|시장,2,8,5.0
132749,춘천 서부시장,강원도 춘천시 서부대성로 12,강원도,춘천시,쇼핑,쇼핑,시장,쇼핑|시장,쇼핑|쇼핑|시장,2,4,0.0
132747,춘천 중앙시장,강원도 춘천시 명동길 34,강원도,춘천시,쇼핑,쇼핑,시장,쇼핑|시장,쇼핑|쇼핑|시장,3,0,0.0
132761,"춘천 풍물시장 / 풍물장 (2, 7일)",강원도 춘천시 영서로 2352-21,강원도,춘천시,쇼핑,쇼핑,시장,쇼핑|시장,쇼핑|쇼핑|시장,4,0,0.0
132752,춘천잣 (춘천농산),강원도 춘천시 신동면 정족3길 59,강원도,춘천시,쇼핑,쇼핑,기념,쇼핑|기념,쇼핑|쇼핑|기념,3,0,0.0
132753,향토공예관,강원도 춘천시 춘천로 19,강원도,춘천시,쇼핑,쇼핑,기념,쇼핑|기념,쇼핑|쇼핑|기념,2,0,0.0
128670,강주연못,경상남도 진주시 정촌면 예하리,경상남도,진주시,자연,자연관광지,강계곡,자연관광지|강계곡,자연|자연관광지|강계곡,4,48,4.4
127816,경상남도수목원,경상남도 진주시 이반성면 수목원로 386,경상남도,진주시,자연,자연관광지,사진맛집,자연관광지|사진맛집,자연|자연관광지|사진맛집,5,69,4.1
127114,금호지,경상남도 진주시 금산면 금산순환로587번길,경상남도,진주시,자연,자연관광지,강계곡,자연관광지|강계곡,자연|자연관광지|강계곡,5,37,3.6
2787088,남가람별빛길,경상남도 진주시 강남로 320,경상남도,진주시,자연,자연관광지,산,자연관광지|산,자연|자연관광지|산,1,0,0.0
126137,진양호,경상남도 진주시 판문동,경상남도,진주시,자연,자연관광지,강계곡,자연관광지|강계곡,자연|자연관광지|강계곡,5,33,4.0
2612900,진양호 일주도로,경상남도 진주시 남강로1번길 126,경상남도,진주시,자연,자연관광지,강계곡,자연관광지|강계곡,자연|자연관광지|강계곡,1,0,0.0
231944,진주 유수리 백악기화석 산지,경상남도 진주시 내동면 유수길75번길,경상남도,진주시,자연,관광자원,산,관광자원|산,자연|관광자원|산,4,2,3.0
128498,가뫼골마을,경상남도 진주시 명석면 관덕길 174,경상남도,진주시,인문,체험관광지,농어촌,체험관광지|농어촌,인문|체험관광지|농어촌,3,0,0.0
1959464,가호서원,경상남도 진주시 이반성면 용암길 59-2,경상남도,진주시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,2,0,0.0
1959492,광제서원,경상남도 진주시 명석면 광제산로685번길 116,경상남도,진주시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,2,0,0.0
2744498,금호못유원지,경상남도 진주시 금산면 금산순환로587번길 10-6,경상남도,진주시,인문,휴양관광지,공원,휴양관광지|공원,인문|휴양관광지|공원,1,4,3.0
127115,남가람문화거리,"경상남도 진주시 망경동,칠암동 일대",경상남도,진주시,인문,체험관광지,이색,체험관광지|이색,인문|체험관광지|이색,4,5,1.0
2554550,남강댐 물 문화관,경상남도 진주시 내동면 삼계로 455-46,경상남도,진주시,인문,산업관광지,공장단지,산업관광지|공장단지,인문|산업관광지|공장단지,2,6,2.8
2788143,남강댐노을공원,경상남도 진주시 내동면 삼계로 453,경상남도,진주시,인문,휴양관광지,공원,휴양관광지|공원,인문|휴양관광지|공원,2,4,1.0
128671,남악서원,경상남도 진주시 금곡면 죽곡길 102,경상남도,진주시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,3,3,0.0
1959529,대각서원,경상남도 진주시 수곡면 대각길 104-21,경상남도,진주시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,2,1,1.5
304694,두방사(두방암),경상남도 진주시 문산읍 동부로781번길 267,경상남도,진주시,인문,역사관광지,종교,역사관광지|종교,인문|역사관광지|종교,3,0,0.0
1622540,망진산 봉수대,경상남도 진주시 봉수대길 116,경상남도,진주시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,3,8,4.2
641524,물사랑교육농장,경상남도 진주시 대평면 호반로 414-11,경상남도,진주시,인문,체험관광지,농어촌,체험관광지|농어촌,인문|체험관광지|농어촌,4,10,0.0
2817792,밀알영농조합,경상남도 진주시 죽곡길 7,경상남도,진주시,인문,체험관광지,이색,체험관광지|이색,인문|체험관광지|이색,1,0,0.0
2820705,배건네공작소,경상남도 진주시 강남로325번길 7-1,경상남도,진주시,인문,체험관광지,이색,체험관광지|이색,인문|체험관광지|이색,1,0,0.0
2744504,석류공원,경상남도 진주시 진주대로 685,경상남도,진주시,인문,휴양관광지,공원,휴양관광지|공원,인문|휴양관광지|공원,1,13,5.0
2612883,선학산전망대,경상남도 진주시 남강로 751-51,경상남도,진주시,인문,건축/조형물,예술,건축/조형물|예술,인문|건축/조형물|예술,1,21,4.5
319565,성전암(진주),경상남도 진주시 이반성면 장안로65번길 291,경상남도,진주시,인문,역사관광지,종교,역사관광지|종교,인문|역사관광지|종교,3,1,0.0
337507,연화사(진주),경상남도 진주시 향교로42번길 13,경상남도,진주시,인문,역사관광지,종교,역사관광지|종교,인문|역사관광지|종교,4,2,0.0
1959975,운강서원,경상남도 진주시 금곡면 금곡로 197-24,경상남도,진주시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,2,0,0.0
2717299,유근종사진가와 함께하는 진주사진여행(falling in Jinju),경상남도 진주시 범골로54번길 30-9,경상남도,진주시,인문,체험관광지,이색,체험관광지|이색,인문|체험관광지|이색,1,0,0.0
348789,응석사(진주),경상남도 진주시 집현면 응석로 435,경상남도,진주시,인문,역사관광지,종교,역사관광지|종교,인문|역사관광지|종교,3,8,0.0
348796,의곡사(진주),경상남도 진주시 의곡길 72,경상남도,진주시,인문,역사관광지,종교,역사관광지|종교,인문|역사관광지|종교,3,5,4.0
126215,의기사와 의암,경상남도 진주시 남강로 626,경상남도,진주시,인문,역사관광지,전통,역사관광지|전통,인문|역사관광지|전통,4,0,0.0
2796959,정글어드벤처,경상남도 진주시 판문로 155,경상남도,진주시,인문,체험관광지,이색,체험관광지|이색,인문|체험관광지|이색,1,6,4.5
